======================================================================
ASTRAM AI - Training from Raw CSV Data
======================================================================

[1/7] Loading raw CSV data...
  Loaded: 8,173 records, 46 columns
  Total nulls: 169,875

[2/7] Parsing datetime and extracting temporal features...
  After datetime filtering: 8,057 records

[3/7] Data cleaning...
  Kannada text detected: 859 reports (10.7%)

[4/7] Feature engineering...
  Total features engineered: 30

[5/7] Creating impact score target...
  Impact score range: 0.0 - 100.0
  Impact score mean: 33.2 ± 17.8

[6/7] Preparing training data...
  Features: 31
  Samples: 8,057
  Train: 6,445 | Test: 1,612

[7/7] Training CatBoost model...
0:	learn: 17.2104565	test: 16.8609304	best: 16.8609304 (0)	total: 138ms	remaining: 3m 26s
257:	learn: 4.8646333	test: 5.1233854	best: 5.1227249 (255)	total: 951ms	remaining: 4.58s
258:	learn: 4.8641582	test: 5.1235419	best: 5.1227249 (255)	total: 958ms	remaining: 4.59s
259:	learn: 4.8618889	test: 5.1238630	best: 5.1227249 (255)	total: 962ms	remaining: 4.58s
260:	learn: 4.8607822	test: 5.1233461	best: 5.1227249 (255)	total: 965ms	remaining: 4.58s
261:	learn: 4.8605986	test: 5.1235307	best: 5.1227249 (255)	total: 970ms	remaining: 4.58s
262:	learn: 4.8594352	test: 5.1239992	best: 5.1227249 (255)	total: 974ms	remaining: 4.58s
263:	learn: 4.8591303	test: 5.1243624	best: 5.1227249 (255)	total: 977ms	remaining: 4.57s
264:	learn: 4.8570380	test: 5.1233909	best: 5.1227249 (255)	total: 980ms	remaining: 4.57s
265:	learn: 4.8552210	test: 5.1233263	best: 5.1227249 (255)	total: 984ms	remaining: 4.56s
266:	learn: 4.8538370	test: 5.1238129	best: 5.1227249 (255)	total: 988ms	remaining: 4.56s
267:	learn: 4.8520579	test: 5.1237461	best: 5.1227249 (255)	total: 991ms	remaining: 4.56s
268:	learn: 4.8512269	test: 5.1232548	best: 5.1227249 (255)	total: 995ms	remaining: 4.55s
269:	learn: 4.8495283	test: 5.1227411	best: 5.1227249 (255)	total: 998ms	remaining: 4.55s
270:	learn: 4.8481185	test: 5.1227827	best: 5.1227249 (255)	total: 1s	remaining: 4.54s
271:	learn: 4.8473055	test: 5.1221697	best: 5.1221697 (271)	total: 1s	remaining: 4.54s
272:	learn: 4.8452070	test: 5.1221504	best: 5.1221504 (272)	total: 1.01s	remaining: 4.53s
273:	learn: 4.8436368	test: 5.1221786	best: 5.1221504 (272)	total: 1.01s	remaining: 4.53s
274:	learn: 4.8415907	test: 5.1215190	best: 5.1215190 (274)	total: 1.01s	remaining: 4.53s
275:	learn: 4.8412358	test: 5.1214274	best: 5.1214274 (275)	total: 1.02s	remaining: 4.52s
276:	learn: 4.8394048	test: 5.1215783	best: 5.1214274 (275)	total: 1.02s	remaining: 4.51s
277:	learn: 4.8381070	test: 5.1218153	best: 5.1214274 (275)	total: 1.02s	remaining: 4.51s
278:	learn: 4.8365816	test: 5.1223347	best: 5.1214274 (275)	total: 1.03s	remaining: 4.5s
279:	learn: 4.8345047	test: 5.1219264	best: 5.1214274 (275)	total: 1.03s	remaining: 4.5s
280:	learn: 4.8337629	test: 5.1213524	best: 5.1213524 (280)	total: 1.04s	remaining: 4.49s
281:	learn: 4.8321462	test: 5.1213336	best: 5.1213336 (281)	total: 1.04s	remaining: 4.49s
282:	learn: 4.8301938	test: 5.1208777	best: 5.1208777 (282)	total: 1.04s	remaining: 4.49s
283:	learn: 4.8283939	test: 5.1206715	best: 5.1206715 (283)	total: 1.05s	remaining: 4.49s
284:	learn: 4.8267229	test: 5.1198933	best: 5.1198933 (284)	total: 1.05s	remaining: 4.48s
285:	learn: 4.8264534	test: 5.1199927	best: 5.1198933 (284)	total: 1.05s	remaining: 4.47s
286:	learn: 4.8249595	test: 5.1203635	best: 5.1198933 (284)	total: 1.06s	remaining: 4.47s
287:	learn: 4.8232675	test: 5.1203331	best: 5.1198933 (284)	total: 1.06s	remaining: 4.46s
288:	learn: 4.8217580	test: 5.1193809	best: 5.1193809 (288)	total: 1.06s	remaining: 4.46s
289:	learn: 4.8212978	test: 5.1195182	best: 5.1193809 (288)	total: 1.07s	remaining: 4.46s
290:	learn: 4.8194243	test: 5.1189276	best: 5.1189276 (290)	total: 1.07s	remaining: 4.45s
291:	learn: 4.8187935	test: 5.1182568	best: 5.1182568 (291)	total: 1.07s	remaining: 4.44s
292:	learn: 4.8166976	test: 5.1188653	best: 5.1182568 (291)	total: 1.08s	remaining: 4.44s
293:	learn: 4.8156406	test: 5.1189325	best: 5.1182568 (291)	total: 1.08s	remaining: 4.44s
294:	learn: 4.8139239	test: 5.1189669	best: 5.1182568 (291)	total: 1.08s	remaining: 4.43s
295:	learn: 4.8119597	test: 5.1187096	best: 5.1182568 (291)	total: 1.09s	remaining: 4.43s
296:	learn: 4.8107798	test: 5.1183043	best: 5.1182568 (291)	total: 1.09s	remaining: 4.42s
297:	learn: 4.8092475	test: 5.1184202	best: 5.1182568 (291)	total: 1.1s	remaining: 4.42s
298:	learn: 4.8079964	test: 5.1178410	best: 5.1178410 (298)	total: 1.1s	remaining: 4.42s
299:	learn: 4.8078867	test: 5.1178598	best: 5.1178410 (298)	total: 1.1s	remaining: 4.41s
300:	learn: 4.8067267	test: 5.1177540	best: 5.1177540 (300)	total: 1.11s	remaining: 4.41s
301:	learn: 4.8066271	test: 5.1178914	best: 5.1177540 (300)	total: 1.11s	remaining: 4.41s
302:	learn: 4.8065358	test: 5.1178130	best: 5.1177540 (300)	total: 1.11s	remaining: 4.4s
303:	learn: 4.8064391	test: 5.1179978	best: 5.1177540 (300)	total: 1.12s	remaining: 4.39s
304:	learn: 4.8047707	test: 5.1182867	best: 5.1177540 (300)	total: 1.12s	remaining: 4.39s
305:	learn: 4.8027395	test: 5.1177415	best: 5.1177415 (305)	total: 1.13s	remaining: 4.41s
306:	learn: 4.8024049	test: 5.1180173	best: 5.1177415 (305)	total: 1.14s	remaining: 4.41s
307:	learn: 4.8020396	test: 5.1175655	best: 5.1175655 (307)	total: 1.14s	remaining: 4.41s
308:	learn: 4.8005685	test: 5.1173650	best: 5.1173650 (308)	total: 1.15s	remaining: 4.41s
309:	learn: 4.7989260	test: 5.1171391	best: 5.1171391 (309)	total: 1.15s	remaining: 4.41s
310:	learn: 4.7984677	test: 5.1174264	best: 5.1171391 (309)	total: 1.15s	remaining: 4.41s
311:	learn: 4.7974965	test: 5.1180756	best: 5.1171391 (309)	total: 1.16s	remaining: 4.4s
312:	learn: 4.7959271	test: 5.1178203	best: 5.1171391 (309)	total: 1.16s	remaining: 4.39s
313:	learn: 4.7954529	test: 5.1178727	best: 5.1171391 (309)	total: 1.16s	remaining: 4.39s
314:	learn: 4.7935829	test: 5.1177485	best: 5.1171391 (309)	total: 1.17s	remaining: 4.38s
315:	learn: 4.7927473	test: 5.1178468	best: 5.1171391 (309)	total: 1.17s	remaining: 4.38s
316:	learn: 4.7912200	test: 5.1168546	best: 5.1168546 (316)	total: 1.17s	remaining: 4.37s
317:	learn: 4.7911667	test: 5.1168234	best: 5.1168234 (317)	total: 1.18s	remaining: 4.37s
318:	learn: 4.7897829	test: 5.1162570	best: 5.1162570 (318)	total: 1.18s	remaining: 4.37s
319:	learn: 4.7890855	test: 5.1165637	best: 5.1162570 (318)	total: 1.18s	remaining: 4.36s
320:	learn: 4.7878677	test: 5.1165023	best: 5.1162570 (318)	total: 1.19s	remaining: 4.36s
321:	learn: 4.7876805	test: 5.1164313	best: 5.1162570 (318)	total: 1.19s	remaining: 4.36s
322:	learn: 4.7861768	test: 5.1166775	best: 5.1162570 (318)	total: 1.19s	remaining: 4.35s
323:	learn: 4.7855182	test: 5.1169563	best: 5.1162570 (318)	total: 1.2s	remaining: 4.35s
324:	learn: 4.7836360	test: 5.1171137	best: 5.1162570 (318)	total: 1.2s	remaining: 4.34s
325:	learn: 4.7821163	test: 5.1169978	best: 5.1162570 (318)	total: 1.2s	remaining: 4.34s
326:	learn: 4.7819522	test: 5.1170505	best: 5.1162570 (318)	total: 1.21s	remaining: 4.34s
327:	learn: 4.7806568	test: 5.1170314	best: 5.1162570 (318)	total: 1.21s	remaining: 4.33s
328:	learn: 4.7805346	test: 5.1172529	best: 5.1162570 (318)	total: 1.22s	remaining: 4.33s
329:	learn: 4.7790742	test: 5.1161618	best: 5.1161618 (329)	total: 1.22s	remaining: 4.33s
330:	learn: 4.7771029	test: 5.1164838	best: 5.1161618 (329)	total: 1.23s	remaining: 4.33s
331:	learn: 4.7770298	test: 5.1164068	best: 5.1161618 (329)	total: 1.23s	remaining: 4.32s
332:	learn: 4.7753557	test: 5.1155327	best: 5.1155327 (332)	total: 1.23s	remaining: 4.32s
333:	learn: 4.7740153	test: 5.1159796	best: 5.1155327 (332)	total: 1.24s	remaining: 4.32s
334:	learn: 4.7739401	test: 5.1161096	best: 5.1155327 (332)	total: 1.24s	remaining: 4.31s
335:	learn: 4.7716647	test: 5.1167134	best: 5.1155327 (332)	total: 1.24s	remaining: 4.3s
336:	learn: 4.7701579	test: 5.1169360	best: 5.1155327 (332)	total: 1.25s	remaining: 4.3s
337:	learn: 4.7687919	test: 5.1172408	best: 5.1155327 (332)	total: 1.25s	remaining: 4.3s
338:	learn: 4.7684227	test: 5.1170849	best: 5.1155327 (332)	total: 1.25s	remaining: 4.29s
339:	learn: 4.7680606	test: 5.1174463	best: 5.1155327 (332)	total: 1.25s	remaining: 4.28s
340:	learn: 4.7674980	test: 5.1175965	best: 5.1155327 (332)	total: 1.26s	remaining: 4.28s
341:	learn: 4.7661741	test: 5.1170746	best: 5.1155327 (332)	total: 1.26s	remaining: 4.27s
342:	learn: 4.7646884	test: 5.1162282	best: 5.1155327 (332)	total: 1.27s	remaining: 4.28s
343:	learn: 4.7644522	test: 5.1162210	best: 5.1155327 (332)	total: 1.27s	remaining: 4.27s
344:	learn: 4.7633689	test: 5.1165406	best: 5.1155327 (332)	total: 1.27s	remaining: 4.27s
345:	learn: 4.7618080	test: 5.1171714	best: 5.1155327 (332)	total: 1.28s	remaining: 4.27s
346:	learn: 4.7616563	test: 5.1169905	best: 5.1155327 (332)	total: 1.28s	remaining: 4.26s
347:	learn: 4.7601760	test: 5.1168585	best: 5.1155327 (332)	total: 1.28s	remaining: 4.26s
348:	learn: 4.7584833	test: 5.1167656	best: 5.1155327 (332)	total: 1.29s	remaining: 4.25s
349:	learn: 4.7568499	test: 5.1160290	best: 5.1155327 (332)	total: 1.29s	remaining: 4.24s
350:	learn: 4.7552371	test: 5.1162585	best: 5.1155327 (332)	total: 1.29s	remaining: 4.24s
351:	learn: 4.7535038	test: 5.1154301	best: 5.1154301 (351)	total: 1.3s	remaining: 4.24s
352:	learn: 4.7523540	test: 5.1150419	best: 5.1150419 (352)	total: 1.3s	remaining: 4.23s
353:	learn: 4.7507195	test: 5.1151004	best: 5.1150419 (352)	total: 1.3s	remaining: 4.22s
354:	learn: 4.7498631	test: 5.1148228	best: 5.1148228 (354)	total: 1.31s	remaining: 4.22s
355:	learn: 4.7480503	test: 5.1149156	best: 5.1148228 (354)	total: 1.31s	remaining: 4.22s
356:	learn: 4.7477255	test: 5.1149219	best: 5.1148228 (354)	total: 1.31s	remaining: 4.21s
357:	learn: 4.7459455	test: 5.1144331	best: 5.1144331 (357)	total: 1.32s	remaining: 4.21s
358:	learn: 4.7446860	test: 5.1145824	best: 5.1144331 (357)	total: 1.32s	remaining: 4.2s
359:	learn: 4.7443129	test: 5.1146343	best: 5.1144331 (357)	total: 1.32s	remaining: 4.2s
360:	learn: 4.7432268	test: 5.1147943	best: 5.1144331 (357)	total: 1.33s	remaining: 4.19s
361:	learn: 4.7418078	test: 5.1146003	best: 5.1144331 (357)	total: 1.33s	remaining: 4.19s
362:	learn: 4.7412781	test: 5.1145611	best: 5.1144331 (357)	total: 1.33s	remaining: 4.18s
363:	learn: 4.7403632	test: 5.1149969	best: 5.1144331 (357)	total: 1.34s	remaining: 4.18s
364:	learn: 4.7400369	test: 5.1152162	best: 5.1144331 (357)	total: 1.34s	remaining: 4.17s
365:	learn: 4.7384208	test: 5.1161269	best: 5.1144331 (357)	total: 1.34s	remaining: 4.17s
366:	learn: 4.7368579	test: 5.1166514	best: 5.1144331 (357)	total: 1.35s	remaining: 4.16s
367:	learn: 4.7368047	test: 5.1166341	best: 5.1144331 (357)	total: 1.35s	remaining: 4.16s
368:	learn: 4.7353373	test: 5.1162926	best: 5.1144331 (357)	total: 1.35s	remaining: 4.15s
369:	learn: 4.7329644	test: 5.1170068	best: 5.1144331 (357)	total: 1.36s	remaining: 4.15s
370:	learn: 4.7321670	test: 5.1169810	best: 5.1144331 (357)	total: 1.36s	remaining: 4.14s
371:	learn: 4.7305977	test: 5.1171071	best: 5.1144331 (357)	total: 1.36s	remaining: 4.14s
372:	learn: 4.7294613	test: 5.1172664	best: 5.1144331 (357)	total: 1.37s	remaining: 4.13s
373:	learn: 4.7281793	test: 5.1176603	best: 5.1144331 (357)	total: 1.37s	remaining: 4.13s
374:	learn: 4.7266394	test: 5.1173196	best: 5.1144331 (357)	total: 1.38s	remaining: 4.13s
375:	learn: 4.7258492	test: 5.1177470	best: 5.1144331 (357)	total: 1.38s	remaining: 4.12s
376:	learn: 4.7249970	test: 5.1179958	best: 5.1144331 (357)	total: 1.38s	remaining: 4.12s
377:	learn: 4.7232394	test: 5.1177848	best: 5.1144331 (357)	total: 1.38s	remaining: 4.11s
378:	learn: 4.7222027	test: 5.1184575	best: 5.1144331 (357)	total: 1.39s	remaining: 4.11s
379:	learn: 4.7219597	test: 5.1184015	best: 5.1144331 (357)	total: 1.39s	remaining: 4.1s
380:	learn: 4.7207228	test: 5.1187881	best: 5.1144331 (357)	total: 1.39s	remaining: 4.09s
381:	learn: 4.7190716	test: 5.1186192	best: 5.1144331 (357)	total: 1.4s	remaining: 4.09s
382:	learn: 4.7175742	test: 5.1187393	best: 5.1144331 (357)	total: 1.4s	remaining: 4.08s
383:	learn: 4.7163032	test: 5.1189547	best: 5.1144331 (357)	total: 1.4s	remaining: 4.08s
384:	learn: 4.7159978	test: 5.1191273	best: 5.1144331 (357)	total: 1.41s	remaining: 4.08s
385:	learn: 4.7145013	test: 5.1195260	best: 5.1144331 (357)	total: 1.41s	remaining: 4.07s
386:	learn: 4.7142747	test: 5.1198502	best: 5.1144331 (357)	total: 1.41s	remaining: 4.07s
387:	learn: 4.7132232	test: 5.1195682	best: 5.1144331 (357)	total: 1.42s	remaining: 4.06s
388:	learn: 4.7117315	test: 5.1193201	best: 5.1144331 (357)	total: 1.42s	remaining: 4.06s
389:	learn: 4.7117127	test: 5.1193224	best: 5.1144331 (357)	total: 1.42s	remaining: 4.05s
390:	learn: 4.7097573	test: 5.1196365	best: 5.1144331 (357)	total: 1.43s	remaining: 4.05s
391:	learn: 4.7094294	test: 5.1197365	best: 5.1144331 (357)	total: 1.43s	remaining: 4.04s
392:	learn: 4.7092201	test: 5.1197668	best: 5.1144331 (357)	total: 1.43s	remaining: 4.03s
393:	learn: 4.7076669	test: 5.1200497	best: 5.1144331 (357)	total: 1.44s	remaining: 4.03s
394:	learn: 4.7064998	test: 5.1200586	best: 5.1144331 (357)	total: 1.44s	remaining: 4.03s
395:	learn: 4.7061369	test: 5.1203174	best: 5.1144331 (357)	total: 1.44s	remaining: 4.02s
396:	learn: 4.7052145	test: 5.1198581	best: 5.1144331 (357)	total: 1.45s	remaining: 4.01s
397:	learn: 4.7041789	test: 5.1200964	best: 5.1144331 (357)	total: 1.45s	remaining: 4.01s
398:	learn: 4.7034782	test: 5.1205573	best: 5.1144331 (357)	total: 1.45s	remaining: 4s
399:	learn: 4.7027234	test: 5.1206402	best: 5.1144331 (357)	total: 1.45s	remaining: 4s
400:	learn: 4.7022527	test: 5.1205381	best: 5.1144331 (357)	total: 1.46s	remaining: 4s
401:	learn: 4.7001960	test: 5.1205666	best: 5.1144331 (357)	total: 1.46s	remaining: 3.99s
402:	learn: 4.6984920	test: 5.1207979	best: 5.1144331 (357)	total: 1.46s	remaining: 3.99s
403:	learn: 4.6972829	test: 5.1201749	best: 5.1144331 (357)	total: 1.47s	remaining: 3.98s
404:	learn: 4.6958844	test: 5.1204096	best: 5.1144331 (357)	total: 1.47s	remaining: 3.98s
405:	learn: 4.6942823	test: 5.1203911	best: 5.1144331 (357)	total: 1.47s	remaining: 3.97s
406:	learn: 4.6942180	test: 5.1206468	best: 5.1144331 (357)	total: 1.48s	remaining: 3.96s
407:	learn: 4.6935235	test: 5.1210795	best: 5.1144331 (357)	total: 1.48s	remaining: 3.96s
Stopped by overfitting detector  (50 iterations wait)

bestTest = 5.114433082
bestIteration = 357

Shrink model to first 358 iterations.

======================================================================
FINAL MODEL PERFORMANCE
======================================================================

  Train R²:       0.9297
  Test R²:        0.9147  <-- ACTUAL R²
  Gap:            0.0149 (1.61%)

  Test MAE:       4.039
  Test RMSE:      5.114

  Features:       31
  Samples:        8,057

======================================================================
TOP 20 FEATURE IMPORTANCE
======================================================================
  17. requires_road_closure                56.44
   3. corridor_tier                        12.10
   1. event_cause_encoded                   8.90
   4. is_corridor                           8.62
  18. traffic_intensity                     2.10
  25. description_length                    1.43
  20. temporal_impact_score                 1.10
   6. weekday                               1.10
  13. weekday_sin                           0.98
  26. description_word_count                0.92
  27. has_detailed_description              0.84
  10. is_peak                               0.80
  24. has_kannada_text                      0.69
  19. weekday_weight                        0.64
  28. data_completeness_score               0.50
   8. is_weekend                            0.45
  12. hour_cos                              0.40
  31. quality_tier_interaction              0.38
  22. peak_tier_interaction                 0.32
   2. veh_type_encoded                      0.25

======================================================================
SAVING MODEL
======================================================================
  Model saved: astram/models/catboost_new_trained.cbm
  Test R² = 0.9147
  Feature list saved: astram/models/feature_list_new.txt

======================================================================
TRAINING COMPLETE - Test R² = 0.9147
======================================================================
